source,target,value
5574,25941,720864900000.0
5574,25942,549530000000.0
5574,25944,525853430000.0
5574,25946,828782000000.0
5574,25947,770584150000.0
5574,26037,887500600000.0
5574,26363,1015040840000.0
7335,355,927081900000.0
7335,1329,538293500000.0
7335,1496,640016450000.0
7335,1823,565469400000.0
7335,2417,694750200000.0
7335,4575,740692200000.0
7335,4578,960440500000.0
7335,4581,488632900000.0
7335,4583,622263600000.0
7335,4589,553555800000.0
7335,4593,486195270000.0
7335,4595,781836100000.0
7335,4596,686090940000.0
7335,4612,555404900000.0
7335,4621,762767150000.0
7335,4622,515018030000.0
7335,4624,498095980000.0
7335,4628,668490330000.0
7335,4629,743224200000.0
7335,4631,471036000000.0
7335,4654,504022900000.0
7335,4665,778389750000.0
7335,4673,922529760000.0
7335,4675,770839500000.0
7335,4681,741781000000.0
7335,4682,657941140000.0
7335,4683,576678130000.0
7335,4685,1177800700000.0
7335,4686,1067715400000.0
7335,4687,476384530000.0
7335,4688,618646730000.0
7335,4689,814483500000.0
7335,4690,576151900000.0
7335,4691,552662200000.0
7335,4692,653021800000.0
7335,4693,1208243500000.0
7335,4694,574829400000.0
7335,4695,768364250000.0
7335,4696,1811749700000.0
7335,4697,555728700000.0
7335,4698,530713540000.0
7335,4699,982344400000.0
7335,4701,991416900000.0
7335,4707,844478740000.0
7335,4708,860629760000.0
7335,4709,873671500000.0
7335,4710,784086000000.0
7335,4711,876749600000.0
7335,4712,859174670000.0
7335,4713,759337400000.0
7335,4716,833166600000.0
7335,4717,634239700000.0
7335,4718,873751100000.0
7335,4719,610155800000.0
7335,4720,602816800000.0
7335,4721,844595130000.0
7335,4722,854314000000.0
7335,4723,862385200000.0
7335,4724,860496400000.0
7335,4725,870409960000.0
7335,4726,860940100000.0
7335,4897,518132400000.0
7335,4907,490125100000.0
7335,4909,782940050000.0
7335,4910,596786900000.0
7335,4914,736057700000.0
7335,4915,875502400000.0
7335,4916,773571200000.0
7335,4917,589443800000.0
7335,4918,742340600000.0
7335,4919,1168378000000.0
7335,4920,759585500000.0
7335,4921,1070668500000.0
7335,4922,879709700000.0
7335,4928,466667500000.0
7335,4933,490551000000.0
7335,4938,466293800000.0
7335,4940,472823600000.0
7335,4941,561221600000.0
7335,4942,517901940000.0
7335,4943,723152860000.0
7335,4944,626528350000.0
7335,4945,483921560000.0
7335,4949,496431200000.0
7335,4950,560235800000.0
7335,4951,974601260000.0
7335,4953,1261955600000.0
7335,4954,1327191200000.0
7335,4955,1365150900000.0
7335,4957,1123541700000.0
7335,4959,770889000000.0
7335,4961,744160170000.0
7335,4963,626764400000.0
7335,4965,1235957000000.0
7335,4967,901206440000.0
7335,4969,780502040000.0
7335,4971,860753900000.0
7335,4972,665215300000.0
7335,4974,596525200000.0
7335,4980,642347570000.0
7335,4981,533835250000.0
7335,4982,520709770000.0
7335,4984,608953430000.0
7335,4985,603465250000.0
7335,4986,600839160000.0
7335,4987,603865350000.0
7335,4988,598118560000.0
7335,4989,595027400000.0
7335,4990,607112270000.0
7335,4991,561661000000.0
7335,4992,561237660000.0
7335,4993,561220160000.0
7335,4994,635984100000.0
7335,4995,590502040000.0
7335,4996,601550900000.0
7335,4997,532911900000.0
7335,4999,526746650000.0
7335,5001,1405997500000.0
7335,5005,527938950000.0
7335,5007,569024050000.0
7335,5008,490092860000.0
7335,5009,872419300000.0
7335,5010,517589660000.0
7335,5011,857068100000.0
7335,5012,853191160000.0
7335,5013,653338200000.0
7335,5014,609156600000.0
7335,5015,512792850000.0
7335,5016,589427830000.0
7335,5019,460841880000.0
7335,5020,462447740000.0
7335,5021,597833100000.0
7335,5022,541436840000.0
7335,5023,483116940000.0
7335,5026,477100000000.0
7335,5110,562081560000.0
7335,5118,523550060000.0
7335,5119,520230270000.0
7335,5188,864756040000.0
7335,5245,567763340000.0
7335,5403,502759720000.0
7335,5567,570116100000.0
7335,5573,517712770000.0
7335,5734,627907560000.0
7335,5897,805178900000.0
7335,6055,575955600000.0
7335,6058,568856600000.0
7335,6060,639533200000.0
7335,6061,473905100000.0
7335,6386,476949480000.0
7335,6387,550546960000.0
7335,6388,528257000000.0
7335,6873,583821800000.0
7335,7038,627771830000.0
7335,7359,531441160000.0
7335,7360,527489270000.0
7335,7361,608030000000.0
7335,8006,588970200000.0
7335,8012,498415570000.0
7335,8271,649915700000.0
7335,8332,746945050000.0
7335,8335,567284400000.0
7335,8337,763947800000.0
7335,8338,881151800000.0
7335,8339,769673660000.0
7335,8340,633501400000.0
7335,8341,743014400000.0
7335,8342,1187671700000.0
7335,8343,767735300000.0
7335,8344,560015300000.0
7335,8345,487934850000.0
7335,8381,468416330000.0
7335,8384,655996000000.0
7335,8388,789975200000.0
7335,8390,718412300000.0
7335,8392,640821560000.0
7335,9008,488565930000.0
7335,9030,662527500000.0
7335,9032,794024900000.0
7335,9036,507337180000.0
7335,9040,498565450000.0
7335,9042,583466200000.0
7335,9044,509789340000.0
7335,9205,531311660000.0
7335,9738,490400740000.0
7335,9805,647493300000.0
7335,9809,823168600000.0
7335,9901,464394780000.0
7335,10125,713690200000.0
7335,10128,521883940000.0
7335,10130,760579700000.0
7335,10131,862482000000.0
7335,10132,738678600000.0
7335,10133,627388300000.0
7335,10134,729444900000.0
7335,10135,1116342200000.0
